donanim,motor
1.6 CRDi BLUE DRIVE DCT (DİZEL),1
1.6 CRDi ELITE (DİZEL),1
1.6 CRDi ELITE DCT (DİZEL),1
1.6 CRDi STYLE (DİZEL),1
1.6 CRDi STYLE DCT (DİZEL),1
1.6 CRDi STYLE DESIGN PACK DCT (DİZEL),1
1.6 GDI ELITE (BENZİNLİ),1
1.6 GDI ELITE DCT (BENZİNLİ),1
1.6 GDI STYLE (BENZİNLİ),1
1.6 GDI STYLE DCT (BENZİNLİ),1
1.6 GDI STYLE DESIGN PACK DCT (BENZİNLİ),1
