donanim,motor
3.0 TDI 272 hp quattro tiptronic,3000
5.2 FSI V10 plus quattro S tronic,5200
5.2 FSI V10 quattro S tronic,5200
4.0 TFSI 560 hp quattro tiptronic,4000
4.0 TFSI 605 hp performance quattro tiptronic,4000
4.0 TFSI 560 hp quattro tiptronic,4000
4.0 TFSI 605 hp performance quattro tiptronic,4000
4.0 TFSI 520 hp quattro tiptronic,4000
4.0 TFSI 605 hp plus quattro tiptronic,4000
2.0 TFSI 230 hp quattro S tronic,2000
2.0 TFSI 310 hp quattro S tronic,2000
1.5 116BG Joy,1500
1.5 116BG Joy Plus,1500
1.5 116BG M Plus,1500
1.5 116BG Pure,1500
1.5 136BG Joy,1500
1.5 136BG Joy Plus,1500
1.5 136BG M Plus,1500
1.5 136BG Pure,1500
1.5 116BG Joy,1500
1.5 116BG Luxury Line,1500
1.5 116BG M Sport,1500
1.5 116BG Prestige,1500
1.5 116BG Sport Line,1500
1.5 116BG Joy,1500
1.5 116BG Luxury Line,1500
1.5 116BG M Sport,1500
1.5 116BG Prestige,1500
1.5 116BG Sport Line,1500
1.5 136BG Joy,1500
1.5 136BG Luxury Line,1500
1.5 136BG M Sport,1500
1.5 136BG Prestige,1500
1.5 136BG Sport Line,1500
1.5 136BG Joy,1500
1.5 136BG Luxury Line,1500
1.5 136BG M Sport,1500
1.5 136BG Prestige,1500
1.5 136BG Sport Line,1500
2.0 150BG 40th Year Edition,2000
2.0 150BG Joy,2000
2.0 150BG Luxury Plus,2000
2.0 150BG M Plus,2000
2.0 150BG Prestige,2000
2.0 150BG Sport Plus,2000
1.5 136BG 40th Year Edition,1500
1.5 136BG Joy,1500
1.5 136BG Luxury Plus,1500
1.5 136BG M Plus,1500
1.5 136BG Prestige,1500
1.5 136BG Sport Plus,1500
2.0 190BG 40th Year Edition,2000
2.0 190BG Joy,2000
2.0 190BG Luxury Plus,2000
2.0 190BG M Plus,2000
2.0 190BG Prestige,2000
2.0 190BG Sport Plus,2000
2.0 190BG 40th Year Edition xDrive,2000
2.0 190BG Joy xDrive,2000
2.0 190BG Luxury Plus xDrive,2000
2.0 190BG M Plus xDrive,2000
2.0 190BG Prestige xDrive,2000
2.0 190BG Sport Plus Xdrive,2000
2.0 190BG 40th Year Edition,2000
2.0 190BG Joy xDrive,2000
2.0 190BG Luxury Plus xDrive,2000
2.0 190BG M Plus xDrive,2000
2.0 190BG Prestige xDrive,2000
2.0 190BG Sport Plus xDrive,2000
2.0 150BG Joy,2000
2.0 150BG Luxury Plus,2000
2.0 150BG M Plus,2000
2.0 150BG Prestige,2000
2.0 150BG Sport Plus,2000
2.0 150BG Ultimate M Sport,2000
2.0 190BG Joy,2000
2.0 190BG Luxury Plus,2000
2.0 190BG M Plus,2000
2.0 190BG Prestige,2000
2.0 190BG Sport Plus,2000
2.0 190BG Ultimate M Sport,2000
1.5 136BG Joy,1500
1.5 136BG Luxury Plus,1500
1.5 136BG M Plus,1500
1.5 136BG Prestige,1500
1.5 136BG Sport Plus,1500
1.5 136BG Ultimate M Sport,1500
1.5 136BG Joy,1500
1.5 136BG Luxury Plus,1500
1.5 136BG M Plus,1500
1.5 136BG Prestige,1500
1.5 136BG Sport Plus,1500
1.5 136BG Ultimate M Sport,1500
2.0 190BG Luxury Line,2000
2.0 190BG M PLus,2000
2.0 190BG Sport Line,2000
2.0 190BG Ultimate M Sport,2000
2.0 190BG Joy xDrive,2000
2.0 190BG Luxury Plus xDrive,2000
2.0 190BG M Plus xDrive,2000
2.0 190BG Sport Plus xDrive,2000
2.0 190BG Ultimate M Sport xDrive,2000
2.0 190BG Joy xDrive,2000
2.0 190BG Luxury Plus xDrive,2000
2.0 190BG M Plus xDrive,2000
2.0 190BG Sport Plus xDrive,2000
2.0 190BG Ultimate M Sport xDrive,2000
2.0 252BG Luxury Line xDrive,2000
2.0 252BG M Sport xDrive,2000
2.0 252BG Sport Line xDrive,2000
2.0 252BG Ulitmate M Sport xDrive,2000
2.0 252BG Joy xDrive,2000
2.0 252BG Luxury Plus xDrive,2000
2.0 252BG M Plus xDrive,2000
2.0 252BG Sport Plus xDrive,2000
2.0 252BG Ultimate M Sport xDrive,2000
2.0 252BG Joy xDrive,2000
2.0 252BG Luxury Plus xDrive,2000
2.0 252BG M Plus xDrive,2000
2.0 252BG Sport Plus xDrive,2000
2.0 252BG Ultimate M Sport xDrive,2000
2.0 190BG Luxury Line,2000
2.0 190BG M Sport,2000
2.0 190BG Prestige,2000
2.0 190BG Sport Line,2000
2.0 190BG Luxury Line xDrive,2000
2.0 190BG M Sport xDrive,2000
2.0 190BG Prestige xDrive,2000
2.0 190BG Sport Line xDrive,2000
3.0 265BG Luxury Line xDrive,3000
3.0 265BG M Sport xDrive,3000
3.0 265BG Prestige xDrive,3000
3.0 265BG Sport Line xDrive,3000
2.0 252BG Executive Luxury,2000
2.0 252BG Executive M,2000
2.0 252BG Executive Prestige,2000
2.0 252BG Executive Sport,2000
2.0 252BG Executive Luxury xDrive,2000
2.0 252BG Executive M xDrive,2000
2.0 252BG Executive Prestige xDrive,2000
2.0 252BG Executive Sport xDrive,2000
3.0 340BG Executive Luxury xDrive,3000
3.0 340BG Executive M xDrive,3000
3.0 340BG Executive Prestige xDrive,3000
3.0 340BG Executive Sport xDrive,3000
3.0 313BG M Sport xDrive,3000
3.0 313BG Pure xDrive,3000
3.0 313BG Pure Excellence xDrive,3000
3.0 313BG Pure Experience xDrive,3000
3.0 313BG M Sport xDrive,3000
3.0 313BG Pure xDrive,3000
3.0 313BG Pure Excellence xDrive,3000
3.0 313BG Pure Experience xDrive,3000
3.0 313BG M Sport xDrive,3000
3.0 313BG Pure xDrive,3000
3.0 313BG Pure Excellence xDrive,3000
3.0 313BG Pure Experience xDrive,3000
2.0 231BG M Excellence,2000
2.0 231BG M Sport,2000
2.0 231BG Pure Excellence,2000
2.0 231BG M Excellence,2000
2.0 231BG M Sport,2000
2.0 231BG Pure Excellence,2000
3.0 265BG M Excellence xDrive,3000
3.0 265BG M Sport xDrive,3000
3.0 265BG Pure Excellence xDrive,3000
2.0 258BG M Excellence,2000
2.0 258BG M Sport,2000
2.0 258BG Pure Excellence,2000
3.0 265BG M Excellence xDrive,3000
3.0 265BG M Sport xDrive,3000
3.0 265BG Pure Excellence xDrive,3000
2.0 258BG M Excellence,2000
2.0 258BG M Sport,2000
2.0 258BG Pure Excellence,2000
2.0 326 3BG M Excellence xDrive iPerformance,2000
2.0 326 3BG M Sport xDrive iPerformance,2000
2.0 326 3BG Pure Excellence xDrive iPerformance,2000
3.0 400BG M Excellence xDrive,3000
3.0 400BG M Sport xDrive,3000
3.0 400BG Pure Excellence xDrive,3000
1.5 362 (266) 4BG Premium Techno,1
1.5 362 (266) 4BG Pure,1
3.0 370BG Pure,3
3.0 431BG M Competition,3
3.0 431BG Pure,3
3.0 431BG M Competition,3
3.0 431BG Pure,3
3.0 431BG M Competition,3
3.0 431BG Pure,3
4.4 560BG Pure,4
4.4 560BG Pure,4
4.4 560BG Pure,4
6.6 609BG Luxury xDrive,6
6.6 609BG Pure xDrive,6
1.5 116BG Joy sDrive16d 2,1
1.5 116BG M Sport sDrive16d 2,1
1.5 116BG Prestige sDrive16d 2,1
1.5 116BG Sport Line sDrive16d 2,1
1.5 116BG X Line sDrive16d 2,1
1.5 136BG Joy sDrive18i,1
1.5 136BG M Sport sDrive18i,1
1.5 136BG Prestige sDrive18i,1
1.5 136BG Sport Line sDrive18i,1
1.5 136BG X Line sDrive18i,1
1.6 170BG Joy sDrive20i,1
1.6 170BG M Plus sDrive20i,1
1.6 170BG Prestige sDrive20i,1
1.6 170BG X Plus sDrive20i,1
2.0 190BG Joy xDrive20d,2
2.0 190BG M Plus xDrive20d,2
2.0 190BG Prestige xDrive20d,2
2.0 190BG X Plus xDrive20d,2
2.0 190BG Exclusive xDrive20d,2
2.0 190BG Joy xDrive20d,2
2.0 190BG M Sport xDrive20d,2
2.0 190BG X Line xDrive20d,2
2.0 231BG M Plus xDrive25d,2
2.0 231BG Prestige xDrive25d,2
2.0 231BG Pure xDrive25d,2
2.0 313 3BG M Plus xDrive40e iPerformance 2,2
2.0 313 3BG Prestige xDrive40e iPerformance 2,2
2.0 313 3BG Pure xDrive40e iPerformance 2,2
