donanim,fiyat
3.0 TDI 272 hp quattro tiptronic,683638
5.2 FSI V10 plus quattro S tronic,1981543
5.2 FSI V10 quattro S tronic,1756668
4.0 TFSI 560 hp quattro tiptronic,1072002
4.0 TFSI 605 hp performance quattro tiptronic,1136307
4.0 TFSI 560 hp quattro tiptronic,1135043
4.0 TFSI 605 hp performance quattro tiptronic,1200199
4.0 TFSI 520 hp quattro tiptronic,1271650
4.0 TFSI 605 hp plus quattro tiptronic,1499890
2.0 TFSI 230 hp quattro S tronic,396851
2.0 TFSI 310 hp quattro S tronic,445001
1.5 116BG Joy,166100
1.5 116BG Joy Plus,169700
1.5 116BG M Plus,180400
1.5 116BG Pure,155300
1.5 136BG Joy,155300
1.5 136BG Joy Plus,158900
1.5 136BG M Plus,169700
1.5 136BG Pure,144600
1.5 116BG Joy,175100
1.5 116BG Luxury Line,190800
1.5 116BG M Sport,195900
1.5 116BG Prestige,184000
1.5 116BG Sport Line,184700
1.5 116BG Joy,187600
1.5 116BG Luxury Line,203400
1.5 116BG M Sport,208400
1.5 116BG Prestige,196600
1.5 116BG Sport Line,197300
1.5 136BG Joy,202000
1.5 136BG Luxury Line,217700
1.5 136BG M Sport,221300
1.5 136BG Prestige,208400
1.5 136BG Sport Line,211300
1.5 136BG Joy,166100
1.5 136BG Luxury Line,181900
1.5 136BG M Sport,185500
1.5 136BG Prestige,173300
1.5 136BG Sport Line,175400
2.0 150BG 40th Year Edition,299800
2.0 150BG Joy,214100
2.0 150BG Luxury Plus,272500
2.0 150BG M Plus,262000
2.0 150BG Prestige,234900
2.0 150BG Sport Plus,250700
1.5 136BG 40th Year Edition,246800
1.5 136BG Joy,187600
1.5 136BG Luxury Plus,225300
1.5 136BG M Plus,217000
1.5 136BG Prestige,204800
1.5 136BG Sport Plus,208100
2.0 190BG 40th Year Edition,322200
2.0 190BG Joy,232900
2.0 190BG Luxury Plus,293900
2.0 190BG M Plus,283100
2.0 190BG Prestige,267100
2.0 190BG Sport Plus,271300
2.0 190BG 40th Year Edition xDrive,425700
2.0 190BG Joy xDrive,312700
2.0 190BG Luxury Plus xDrive,376800
2.0 190BG M Plus xDrive,374900
2.0 190BG Prestige xDrive,343800
2.0 190BG Sport Plus Xdrive,357900
2.0 190BG 40th Year Edition,340500
2.0 190BG Joy xDrive,262800
2.0 190BG Luxury Plus xDrive,312300
2.0 190BG M Plus xDrive,301400
2.0 190BG Prestige xDrive,285400
2.0 190BG Sport Plus xDrive,289700
2.0 150BG Joy,283600
2.0 150BG Luxury Plus,322200
2.0 150BG M Plus,313700
2.0 150BG Prestige,294900
2.0 150BG Sport Plus,309000
2.0 150BG Ultimate M Sport,349500
2.0 190BG Joy,286400
2.0 190BG Luxury Plus,325000
2.0 190BG M Plus,316500
2.0 190BG Prestige,297700
2.0 190BG Sport Plus,311800
2.0 190BG Ultimate M Sport,352300
1.5 136BG Joy,215600
1.5 136BG Luxury Plus,245000
1.5 136BG M Plus,238600
1.5 136BG Prestige,224200
1.5 136BG Sport Plus,235000
