donanim,fiyat
1.6 GDI ELITE (BENZİNLİ),
1.6 GDI ELITE DCT (BENZİNLİ),
1.6 GDI STYLE (BENZİNLİ),
1.6 GDI STYLE DCT (BENZİNLİ),
1.6 GDI STYLE DESIGN PACK DCT (BENZİNLİ),
1.6 TURBO GDI SPORT (BENZİNLİ),
1.6 CRDi ELITE DCT (DİZEL),
1.6 CRDi STYLE (DİZEL),
1.6 CRDi STYLE DCT (DİZEL),
2.0 CRDi (DİZEL) 6 İLERİ OTOMATİK SHIFTRONIC,297900
